0.005,78.3
0.01,60.7
0.015,59.9
0.02,60.3
0.025,60.3
0.03,64.0
0.035,60.2
0.04,59.9
0.045,60.2
0.05,60.4
0.055,60.4
0.06,60.8
0.065,60.1
0.07,60.9
0.075,61.2
0.08,59.9
0.085,59.6
0.09,59.4
0.095,59.6
0.1,59.6
0.105,59.9
0.11,60.2
0.115,60.1
0.12,59.9
0.125,59.8
0.13,59.7
0.135,60.2
0.14,59.3
0.145,59.8
0.15,60.3
0.155,59.7
0.16,59.3
0.165,59.8
0.17,59.7
0.175,59.7
0.18,60.0
0.185,60.0
0.19,59.8
0.195,60.2
0.2,59.9
0.205,60.0
0.21,59.9
0.215,59.6
0.22,60.2
0.225,59.9
0.23,59.3
0.235,59.7
0.24,60.4
0.245,59.9
0.25,59.9
